gzip 1.14-2
harfbuzz 14.2.0-1
harfbuzz-icu 14.2.0-1
hdf5 2.1.1-1
help2man 1.49.3-2
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hunspell 1.7.3-1
hunspell-en_us 2026.02.25-1
hwdata 0.407-1
hwloc 2.13.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-6
hyprgraphics 0.5.1-2
hypridle 0.1.7-9
hyprland 0.55.2-2
hyprland-guiutils 0.2.1-6
hyprland-qt-support 0.1.0-12
hyprlang 0.6.8-4
hyprlock 0.9.5-4
hyprpicker 0.4.7-1
hyprpolkitagent 0.1.3-7
hyprshot 1.3.0-4
hyprtoolkit 0.5.4-2
hyprutils 0.13.1-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-2
i2c-tools 4.4-4
iana-etc 20260511-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.24-1
imath 3.2.2-6
imlib2 1.12.6-1
inetutils 2.8-1
iniparser 4.2.6-2
inotify-tools 4.25.9.0-1
intel-oneapi-common 2026.0.0_235-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2026.0.0_947-2
intel-oneapi-compiler-shared-runtime-libs 2026.0.0_947-1
intel-oneapi-openmp 2026.0.0_947-1
intel-oneapi-tbb 2023.0.0_724-1
intel-oneapi-tcm 1.5.0_489-1
intel-oneapi-umf 1.1.0_340-2
intel-ucode 20260512-1
intltool 0.51.0-6
iproute2 7.0.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
jansson 2.15.0-1
jasper 4.2.9-1
java-avalon-framework 4.2.0-10
java-batik 1.19-1
java-commons-io 2.22.0-1
java-commons-logging 1.3.6-1
java-environment-common 3-6
java-runtime-common 3-6
java-xmlgraphics-commons 2.11-1
jbig2dec 0.20-2
jbigkit 2.1-8
jdk-openjdk 26.0.1.u8-1
jdk11-openjdk 11.0.31.u11-1
jdk21-openjdk 21.0.11.u10-1
jedi-language-server 0.46.0-1
jemalloc 1:5.3.1-2
jq 1.8.1-3
jre8-openjdk-headless 8.492.u09-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 26.04.1-1
karchive 6.26.0-1
kauth 6.26.0-1
kbd 2.9.0-1
kbookmarks 6.26.0-1
kcmutils 6.26.0-1
kcodecs 6.26.0-1
kcolorscheme 6.26.0-1
kcompletion 6.26.0-1
kcompletion5 5.116.0-2
kconfig 6.26.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.26.0-1
kcoreaddons 6.26.0-1
kcoreaddons5 5.116.0-2
kcrash 6.26.0-1
kcrash5 5.116.0-2
kdbusaddons 6.26.0-1
kddockwidgets 2.4.0-3
kdenlive 26.04.1-1
keyutils 1.6.3-4
kfilemetadata 6.26.0-1
kglobalaccel 6.26.0-1
kguiaddons 6.26.0-1
kguiaddons5 5.116.0-2
ki18n 6.26.0-1
ki18n5 5.116.0-2
kiconthemes 6.26.0-1
kio 6.26.0-1
kirigami 6.26.0-1
kitemmodels 6.26.0-1
kitemviews 6.26.0-1
kitemviews5 5.116.0-2
kitty 0.46.2-1
kitty-shell-integration 0.46.2-1
kitty-terminfo 0.46.2-1
kjobwidgets 6.26.0-1
kmod 34.2-1
knewstuff 6.26.0-1
knotifications 6.26.0-1
knotifyconfig 6.26.0-1
kolourpaint 26.04.1-1
kpackage 6.26.0-1
krb5 1.22.2-1
krita 6.0.2-2
ksanecore 26.04.1-1
kservice 6.26.0-1
ktextwidgets 6.26.0-1
kvantum 1.1.7-1
kvantum-qt5 1.1.7-1
kvantum-theme-materia 20220823-4
kwallet 6.26.0-1
kwidgetsaddons 6.26.0-1
kwidgetsaddons5 5.116.0-2
kwindowsystem 6.26.0-1
kwindowsystem5 5.116.0-2
kxmlgui 6.26.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
lapack 3.12.1-2
lazygit 0.62.1-1
lcms2 2.19.1-1
leancrypto 1.7.2-1
leptonica 1.87.0-1
less 1:692-1
level-zero-loader 1.28.2-1
lib32-alsa-lib 1.2.15.3-1
lib32-alsa-plugins 1.2.12-1
lib32-audit 4.1.4-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.20.0-7
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.1-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 16.1.1+r12+g301eb08fa2c5-1
lib32-glib2 2.88.1-1
lib32-glibc 2.43+r22+g8362e8ce10b2-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-harfbuzz 14.2.0-1
lib32-icu 78.3-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libcap 2.78-1
lib32-libdrm 2.4.133-1
lib32-libelf 0.195-1
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.69.0-1
lib32-libnghttp3 1.15.0-1
lib32-libngtcp2 1.22.1-1
lib32-libnm 1.56.1-1
lib32-libnsl 2.0.1-2
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.6-1
lib32-libpng 1.6.58-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.21.0-1
lib32-libtirpc 1.3.7-1
lib32-libunistring 1.4.2-1
lib32-libva 2.22.0-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.1-2
lib32-libxinerama 1.1.6-1
lib32-libxml2 2.15.3-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.5-1
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.6-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.1.1-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nspr 4.39-1
lib32-nss 3.124-1
lib32-nvidia-utils 610.43.02-1
lib32-openssl 1:3.6.2-1
lib32-p11-kit 0.26.2-1
lib32-pam 1.7.1-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.6.6-1
lib32-spirv-tools 1:1.4.350.0-1
lib32-sqlite 3.53.1-1
lib32-systemd 260.2-1
lib32-util-linux 2.42.1-1
lib32-vkd3d 1.19-1
lib32-vulkan-icd-loader 1.4.350.0-1
lib32-wayland 1.25.0-1
lib32-xz 5.8.3-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libabw 0.1.3-6
libaccounts-glib 1.27-3
libaccounts-qt 1.17-2
libadwaita 1:1.9.1-1
libaec 1.1.6-1
libaemu 0.1.2-5
libaio 0.3.113-4
libappimage 1.0.4.5-14
libappindicator 12.10.1-1
libarchive 3.8.7-1
libasan 16.1.1+r12+g301eb08fa2c5-1
libass 0.17.4-2
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.1.1+r12+g301eb08fa2c5-1
libatomic_ops 7.8.2-2
libavc1394 0.5.4-7
libavif 1.4.2-1
libavtp 0.2.0-3
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-2
libb2 0.98.1-3
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libburn 1.5.8-1
libbytesize 2.12-3
libc++ 22.1.6-1
libc++abi 22.1.6-1
libcaca 0.99.beta20-7
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcbor 0.14.0-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcdr 0.1.8-4
libcloudproviders 0.4.0-1
libcmis 0.6.2-9
libcolord 1.4.8-1
libcups 2:2.4.19-1
libcurl-gnutls 8.20.0-7
libdaemon 0.14-6
libdatachannel 0.24.3-2
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-2
libdca 0.0.7-3
libde265 1.1.0-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdovi 3.3.2-1
libdrm 2.4.133-1
libdv 1.0.0-12
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libdwarf 1:2.3.1-1
libe-book 0.1.3-20
libebml 1.4.5-2
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
